PName,PNumber,PLocation,PHeight,PWeight,PBirth,PContract,PCurrent_salary,PTeam
阿龙-戈登,00,F,2.06米/6尺9,100公斤/220磅,1995-09-16,4年8000万美元，2018年夏天签，2022年夏天到期,2159,奥兰多魔术
埃文-富尼耶,10,G-F,2.01米/6尺7,93公斤/205磅,1992-10-29,5年8500万，2016年夏天签，2021年夏天到期，2020-21赛季球员选项,1700,奥兰多魔术
季莫费-莫兹戈夫,21,C,2.16米/7尺1,125公斤/275磅,1986-07-16,4年6400万美元，2016年夏天签，2020年夏天到期,1634,奥兰多魔术
尼古拉-武切维奇,9,C,2.13米/7尺0,118公斤/260磅,1990-10-24,4年5300万美元，2015年夏天签，2019年夏天到期，400万不易达到的激励奖金,1275,奥兰多魔术
特伦斯-罗斯,31,G-F,2.01米/6尺7,88公斤/195磅,1991-02-05,3年3150万美元，2015年11月签，2016年夏天生效，2019年夏天到期,1050,奥兰多魔术
马克尔-富尔茨,20,G,1.93米/6尺4,86公斤/190磅,1998-05-29,4年3740万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,834,奥兰多魔术
DJ-奥古斯丁,14,G,1.83米/6尺0,83公斤/183磅,1987-11-10,4年2900万美元，2016年夏天签，2020年夏天到期,725,奥兰多魔术
乔纳森-艾萨克,1,F,2.08米/6尺10,95公斤/210磅,1997-10-03,4年2232万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,497,奥兰多魔术
穆罕默德-班巴,5,C,2.16米/7尺1,102公斤/225磅,1998-05-12,4年2410万美元，2018年夏天签，2022年夏天到期，2020年和2021年球队选项,486,奥兰多魔术
杰里安-格兰特,22,G,1.93米/6尺4,90公斤/198磅,1992-10-09,4年960万美元，2015年夏天签，2019年夏天到期，2017-18赛季、2018-19赛季球队选项,326,奥兰多魔术
贾雷尔-马丁,2,F,2.08米/6尺10,108公斤/239磅,1994-05-24,4年627万美元，2015年夏天签，2019年夏天到期，2017-18赛季、2018-19赛季球队选项,242,奥兰多魔术
肯-伯奇,24,C-F,2.06米/6尺9,100公斤/220磅,1992-09-28,2年219万美元，2017年夏天签，2019年夏天到期，2017-18赛季2.5万美元保障，常规赛开赛前不被裁则转为40.8万美元保障（已转为40.8万美元保障）；2018-19赛季无保障，2018年,138,奥兰多魔术
韦斯利-艾旺杜,25,F,2.01米/6尺7,93公斤/205磅,1994-12-20,3年405万美元，2017年夏天签，2020年夏天到期，2019-20赛季球队选项,138,奥兰多魔术
梅尔文-弗雷泽,35,F-G,1.98米/6尺6,91公斤/201磅,1996-08-30,4年621万美元，2018年夏天签，2022年夏天到期，2021年球队选项,105,奥兰多魔术
以赛亚-布里斯科,13,G,1.91米/6尺3,91公斤/200磅,1996-04-13,4年600万美元，2018年夏天签，2022年夏天到期，2019年1月10日前不被裁则2018-19赛季全额保障，否则50万美元保障；2019-20赛季无保障，2019年7月15日前不被裁则50万美元,84,奥兰多魔术
特洛伊-科佩恩,3,G,1.93米/6尺4,95公斤/210磅,1995-11-29,双向合同,7,奥兰多魔术
阿米尔-杰弗森,11,F,2.06米/6尺9,102公斤/224磅,1993-05-07,双向合同,7,奥兰多魔术
迈克尔-卡特-威廉姆斯,7,G,1.98米/6尺6,86公斤/190磅,1991-10-10,,,奥兰多魔术
尼古拉斯-巴图姆,5,G-F,2.03米/6尺8,91公斤/200磅,1988-12-14,5年1.2亿美元，2016年夏天签，2021年夏天到期，2020-21赛季球员选项,2400,夏洛特黄蜂
俾斯麦-比永博,8,C,2.06米/6尺9,116公斤/255磅,1992-08-28,4年7200万美元，2016年夏天签，2020年夏天到期，2019-20赛季球员选项，400万美元激励奖金,1700,夏洛特黄蜂
马文-威廉姆斯,2,F,2.06米/6尺9,107公斤/237磅,1986-06-19,4年5451万美元，2016年夏天签，2020年夏天到期，2019-20赛季球员选项,1409,夏洛特黄蜂
科迪-泽勒,40,C,2.13米/7尺0,109公斤/240磅,1992-10-05,4年1740万美元，2013年夏天签，2017年夏天到期，2016年10月以4年5600万美元续约，2017年夏天生效，2021年夏天到期,1353,夏洛特黄蜂
迈克尔-基德-吉尔克里斯特,14,F,2.01米/6尺7,105公斤/232磅,1993-09-26,4年5200万美元，2015年夏天签，2016年夏天生效，2020年夏天到期，2019-20赛季球员选项,1300,夏洛特黄蜂
肯巴-沃克,15,G,1.85米/6尺1,83公斤/184磅,1990-05-08,4年4800万美元，2014年10月份签，2015年夏天生效，2019年夏天到期,1200,夏洛特黄蜂
杰里米-兰姆,3,G,1.96米/6尺5,84公斤/185磅,1992-05-30,3年2100万美元，2015年11月签，2016年夏天生效，2019年夏天到期,749,夏洛特黄蜂
托尼-帕克,9,G,1.88米/6尺2,84公斤/185磅,1982-05-17,2年1000万美元，2018年夏天签，2020年夏天到期，其中500万受保障，2019-20赛季无保障，如果在7月3日前未被裁则受保障,500,夏洛特黄蜂
弗兰克-卡明斯基,44,F-C,2.13米/7尺0,109公斤/240磅,1993-04-04,4年1222万美元，2015年夏天签，2019年夏天到期，2017-18赛季、2018-19赛季球队选项,363,夏洛特黄蜂
马利克-蒙克,1,G,1.91米/6尺3,91公斤/200磅,1998-02-04,4年1572万美元，2017年夏天签，2021年夏天到期,345,夏洛特黄蜂
迈尔斯-布里奇斯,0,F,2.01米/6尺7,102公斤/225磅,1998-03-21,4年1572万美元，2018年夏天签，2022年夏天到期，2020-21赛季、2021-22赛季球队选项,320,夏洛特黄蜂
谢尔文-麦克,6,G,1.91米/6尺3,92公斤/203磅,1990-04-22,1年203万美元，2018年夏天签，2019年夏天到期,203,夏洛特黄蜂
吉列尔莫-埃尔南戈麦斯,41,C,2.11米/6尺11,109公斤/240磅,1994-05-27,4年586万美元，2016年夏天签，2020年夏天到期，2019-20赛季无保障,150,夏洛特黄蜂
德维恩-培根,7,G-F,2.01米/6尺7,100公斤/220磅,1995-08-30,3年381万美元，2017年夏天签，2020年夏天到期，2019-20赛季无保障，2019年8月1日前不被裁则转为全额保障,138,夏洛特黄蜂
德文特-格雷厄姆,4,G,1.88米/6尺2,84公斤/185磅,1995-02-22,3年407万美元，2018年夏天签，2021年夏天到期，其中240万受保障，2020-21赛季无保障，如果在7月7日前未被裁则受保障,99,夏洛特黄蜂
乔-奇利,31,G,1.93米/6尺4,86公斤/190磅,1995-11-01,双向合同,7,夏洛特黄蜂
JP-马楚拉,55,G,1.96米/6尺5,92公斤/203磅,1995-06-05,双向合同,7,夏洛特黄蜂
布拉德利-比尔,3,G,1.96米/6尺5,94公斤/207磅,1993-06-28,5年1.27亿美元，2016年夏天签，2021年夏天到期,2543,华盛顿奇才
贾巴里-帕克,12,F,2.03米/6尺8,113公斤/250磅,1995-03-15,2年4000万美元，2018年夏天签，2020年夏天到期,2000,华盛顿奇才
约翰-沃尔,2,G,1.93米/6尺4,95公斤/210磅,1990-09-06,5年8478万，2013年夏天签，2014年夏天生效，2019年夏天到期；2017年夏天以4年1.7亿美元提前续约至2023年，2022-23赛季球员选项,1917,华盛顿奇才
伊安-马辛米,28,C,2.11米/6尺11,119公斤/262磅,1986-11-05,4年6400万美元，2016年夏天签，2020年夏天到期,1594,华盛顿奇才
特雷沃-阿里扎,1,F,2.03米/6尺8,98公斤/215磅,1985-06-30,1年1500万美元，2018年夏天签，2019年夏天到期,1500,华盛顿奇才
韦斯利-约翰逊,4,F,2.01米/6尺7,98公斤/215磅,1987-07-11,3年1764万美元，2016年夏天签，2019年夏天到期,613,华盛顿奇才
德怀特-霍华德,21,C,2.11米/6尺11,120公斤/265磅,1985-12-08,2年1094万美元，2018年夏天签，2020年夏天到期，2019-20赛季球员选项,534,华盛顿奇才
托马什-萨托兰斯基,31,G-F,2.01米/6尺7,95公斤/210磅,1991-10-30,3年900万美元，2016年夏天签，2019年夏天到期,313,华盛顿奇才
萨姆-德克尔,8,F,2.06米/6尺9,104公斤/230磅,1994-05-08,4年792万美元，2015年夏天签，2019年夏天到期，2017-18赛季、2018-19赛季球队选项,276,华盛顿奇才
特洛伊-布朗,6,F,2.01米/6尺7,98公斤/215磅,1999-07-28,4年1451万美元，2018年夏天签，2022年夏天到期，2020和2021年球队选项,275,华盛顿奇才
博比-波蒂斯,5,F,2.11米/6尺11,112公斤/246磅,1995-02-10,4年686万美元，2015年夏天签，2019年夏天到期，2017-18赛季、2018-19赛季球队选项,249,华盛顿奇才
杰夫-格林,32,F,2.06米/6尺9,107公斤/235磅,1986-08-28,1年239万美元，2018年夏天签，2019年夏天到期,239,华盛顿奇才
托马斯-布莱恩特,13,C,2.08米/6尺10,112公斤/248磅,1997-07-31,2年219万美元，2017年夏天签，2019年夏天到期,138,华盛顿奇才
沙松-兰德尔,9,G,1.88米/6尺2,84公斤/185磅,1993-02-05,1年87万美元，2018年12月签，2019年夏天到期,87,华盛顿奇才
德文-罗宾逊,7,F,2.03米/6尺8,91公斤/200磅,1995-03-07,双向合同,7,华盛顿奇才
乔丹-麦克雷,52,G,1.96米/6尺5,81公斤/179磅,1991-03-28,双向合同,7,华盛顿奇才
肯特-贝兹莫尔,24,G,1.96米/6尺5,91公斤/201磅,1989-07-01,4年7000万美元，2016年夏天签，2020年夏天到期，2019-20赛季球员选项,1809,亚特兰大老鹰
迈尔斯-普拉姆利,18,C,2.11米/6尺11,113公斤/249磅,1988-09-01,4年5000万，2016年夏天签，2020年夏天到期，每年60万美元不易达到的激励奖金,1250,亚特兰大老鹰
德维恩-戴德蒙,14,C,2.13米/7尺0,111公斤/245磅,1989-08-12,2年1410万美元，其中包含每年90万美元的激励奖金。2017年夏天签，2019年夏天到期。,630,亚特兰大老鹰
特雷-杨,11,G,1.88米/6尺2,82公斤/180磅,1998-09-19,4年2653万美元，2018年夏天签，2022年夏天到期，2020和2021年球队选项,536,亚特兰大老鹰
亚历克斯-莱恩,25,C,2.16米/7尺1,118公斤/260磅,1993-06-16,2年850万美元，2018年夏天签，2020年夏天到期,415,亚特兰大老鹰
托里恩-普林斯,12,F,2.03米/6尺8,100公斤/220磅,1994-03-22,4年1075万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,253,亚特兰大老鹰
贾斯廷-安德森,1,G-F,1.98米/6尺6,103公斤/228磅,1993-11-19,4年706万美元，2015年夏天签，2019年夏天到期，2017-18赛季、2018-19赛季球队选项,252,亚特兰大老鹰
文斯-卡特,15,G-F,1.98米/6尺6,100公斤/220磅,1977-01-26,1年239万美元，2018年夏天签，2019年夏天到期,239,亚特兰大老鹰
约翰-科林斯,20,F-C,2.08米/6尺10,107公斤/235磅,1997-09-23,4年1106万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,230,亚特兰大老鹰
凯文-赫尔特,3,G,2.01米/6尺7,86公斤/190磅,1998-08-27,4年1190万美元，2018年夏天签，2022年夏天到期，2020和2021年球队选项,225,亚特兰大老鹰
德安德烈-本布里,95,F,1.98米/6尺6,95公斤/210磅,1994-07-04,4年731万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,163,亚特兰大老鹰
奥马里-斯佩尔曼,6,F,2.06米/6尺9,111公斤/245磅,1997-07-21,4年909万美元，2018年夏天签，2022年夏天到期，2020和2021年球队选项,162,亚特兰大老鹰
杰伦-亚当斯,10,G,1.88米/6尺2,102公斤/225磅,1996-05-04,双向合同,7,亚特兰大老鹰
亚历克斯-波伊思雷斯,22,F,2.01米/6尺7,108公斤/238磅,1993-09-06,双向合同,7,亚特兰大老鹰
泰勒-泽勒,45,C,2.13米/7尺0,115公斤/253磅,1990-01-17,,,亚特兰大老鹰
BJ-约翰逊,5,F,2.01米/6尺7,91公斤/200磅,1995-12-21,,,亚特兰大老鹰
扬尼斯-阿德托昆博,34,F,2.11米/6尺11,101公斤/222磅,1994-12-06,4年1亿美元。2017年夏天签，2021年夏天到期。,2416,密尔沃基雄鹿
乔治-希尔,3,G,1.91米/6尺3,85公斤/188磅,1986-05-04,3年5700万美元，2017年夏天签，2020年夏天到期，4000万美元保障，2019-20赛季100万美元保障,1900,密尔沃基雄鹿
保罗-加索尔,17,C-F,2.13米/7尺0,113公斤/250磅,1980-07-06,3年4800万美元，2017年夏天签，2020年夏天到期，2019-20赛季670万美元保障,1600,密尔沃基雄鹿
埃里克-布莱索,6,G,1.85米/6尺1,93公斤/205磅,1989-12-09,5年7000万美元，2014年夏天签，2019年夏天到期,1500,密尔沃基雄鹿
克里斯-米德尔顿,22,F-G,2.03米/6尺8,106公斤/234磅,1991-08-12,5年7000万美元，2015年夏天签，2019-20赛季球员选项，2020年夏天到期,1300,密尔沃基雄鹿
尼古拉-米罗蒂奇,41,F,2.08米/6尺10,108公斤/238磅,1991-02-11,2年2500万美元，2017年夏天签，2019年夏天到期，2018-19赛季球队选项，2017-18赛季拥有交易否决权,1250,密尔沃基雄鹿
托尼-斯内尔,21,G,2.01米/6尺7,98公斤/217磅,1991-11-10,4年4600万美元，2017年夏天签，2021年夏天到期，2020-2021赛季球员选项,1061,密尔沃基雄鹿
艾森-伊利亚索瓦,77,F,2.08米/6尺10,107公斤/235磅,1987-05-15,3年2100万美元，2018年夏天签，2021年夏天到期，2020-21赛季无保障,700,密尔沃基雄鹿
布鲁克-洛佩斯,11,C,2.13米/7尺0,122公斤/268磅,1988-04-01,1年338万美元，2018年夏天签，2019年夏天到期,338,密尔沃基雄鹿
DJ-威尔森,5,F,2.08米/6尺10,109公斤/240磅,1996-02-19,4年1218万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,253,密尔沃基雄鹿
唐特-迪温琴佐,9,G,1.96米/6尺5,93公斤/205磅,1997-01-31,4年1309万美元，2018年夏天签，2022年夏天到期，2020和2021年球队选项,248,密尔沃基雄鹿
帕特-康诺顿,24,G-F,1.96米/6尺5,95公斤/210磅,1993-01-06,2年336万美元，2018年夏天签，2020年夏天到期,164,密尔沃基雄鹿
马尔科姆-布罗格登,13,G,1.96米/6尺5,98公斤/215磅,1992-12-11,3年378万美元，2016年夏天签，2019年夏天到期， 2018-2019赛季无保障，2018年6月30日之前不被裁则转为全额保障,154,密尔沃基雄鹿
克里斯蒂安-伍德,35,F,2.11米/6尺11,100公斤/220磅,1995-09-27,2年316万美元。2018年夏天签，2020年夏天到期。,151,密尔沃基雄鹿
斯特林-布朗,23,G,1.98米/6尺6,104公斤/230磅,1995-02-10,3年381万美元，2017年夏天签，2020年夏天到期,138,密尔沃基雄鹿
邦齐-科尔森,50,F,1.98米/6尺6,102公斤/224磅,1996-01-12,双向合同,7,密尔沃基雄鹿
特雷旺-杜瓦尔,0,G,1.91米/6尺3,84公斤/186磅,1998-08-03,双向合同,7,密尔沃基雄鹿
维克托-奥拉迪波,4,G,1.93米/6尺4,95公斤/210磅,1992-05-04,4年2138万，2013年夏天签，2017年夏天到期，2016年10月以4年8400万美元提前续约，2017年夏天生效，2021年夏天到期，每年25万不易达到的激励奖金,2100,印第安纳步行者
赛迪斯-杨,21,F,2.03米/6尺8,100公斤/221磅,1988-06-21,4年5400万美元，2015年夏天签，2019年夏天到期，2018-19赛季球员选项，包含15%交易保证金,1376,印第安纳步行者
泰瑞克-埃文斯,12,G,1.98米/6尺6,100公斤/220磅,1989-09-19,1年1230万美元，2018年夏天签，2019年夏天到期,1230,印第安纳步行者
达伦-科里森,2,G,1.83米/6尺0,79公斤/175磅,1987-08-23,2年2000万美元，2017年夏天签，2019年夏天到期，2018-19赛季200万美元保障,1000,印第安纳步行者
科里-约瑟夫,6,G,1.91米/6尺3,86公斤/190磅,1991-08-20,4年2989万美元，2015年夏天签，2019年夏天到期,795,印第安纳步行者
道格-麦克德莫特,20,F,2.03米/6尺8,99公斤/219磅,1992-01-03,3年2200万美元，2018年夏天签，2021年夏天到期,733,印第安纳步行者
凯尔-奥奎因,10,C,2.08米/6尺10,113公斤/250磅,1990-03-26,1年445万美元，2018年夏天签，2019年夏天到期,445,印第安纳步行者
迈尔斯-特纳,33,C-F,2.11米/6尺11,110公斤/243磅,1996-03-24,,341,印第安纳步行者
多曼塔斯-萨博尼斯,11,F,2.11米/6尺11,109公斤/240磅,1996-05-03,4年1118万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,266,印第安纳步行者
TJ-利夫,22,F,2.08米/6尺10,102公斤/225磅,1997-04-30,4年1158万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,241,印第安纳步行者
阿龙-霍勒迪,3,G,1.85米/6尺1,84公斤/185磅,1996-09-30,4年1047万美元，2018年夏天签，2022年夏天到期，2020和2021年球队选项,191,印第安纳步行者
阿利兹-约翰逊 ,24,F,2.06米/6尺9,91公斤/201磅,1996-04-22,2年225万美元，2018年夏天签，2020年夏天到期，其中包含84万的保证金,84,印第安纳步行者
韦斯利-马修斯,23,G,1.96米/6尺5,100公斤/220磅,1986-10-14,1年74万美元，2019年2月签，2019年夏天到期,74,印第安纳步行者
埃德蒙-萨姆纳,5,G,1.96米/6尺5,84公斤/185磅,1995-12-31,2年204万美元，2019年2月签，2020年夏天到期，2019-20赛季无保障,45,印第安纳步行者
达文-里德,32,G,1.98米/6尺6,100公斤/220磅,1995-06-11,双向合同,7,印第安纳步行者
博扬-波格丹诺维奇,44,F,2.03米/6尺8,102公斤/225磅,1989-04-18,,,印第安纳步行者
布雷克-格里芬,23,F,2.08米/6尺10,114公斤/251磅,1989-03-16,5年1.71亿美元，2017年夏天签，2022年夏天到，2021-22赛季球员选项,3187,底特律活塞
安德烈-德拉蒙德,0,C,2.11米/6尺11,127公斤/279磅,1993-08-10,5年1.3亿美元，2016年夏天签，2021年夏天到期，2020-21赛季球员选项,2543,底特律活塞
雷吉-杰克逊,1,G,1.91米/6尺3,94公斤/208磅,1990-04-16,5年8000万美元，2015年夏天签，2020年夏天到期,1704,底特律活塞
乔恩-洛伊尔,30,F,2.08米/6尺10,103公斤/228磅,1989-05-14,4年4200万美元，2016年夏天签，2020年夏天到期,1000,底特律活塞
兰斯顿-加洛韦,9,G,1.88米/6尺2,91公斤/200磅,1991-12-09,3年2100万美元，2017年夏天签，2020年夏天到期,700,底特律活塞
伊斯梅尔-史密斯,14,G,1.83米/6尺0,79公斤/175磅,1988-07-05,3年1800万美元，2016年夏天签，2019年夏天到期,600,底特律活塞
格伦-罗宾逊三世,22,G-F,1.98米/6尺6,101公斤/222磅,1994-01-08,1年407万美元，2018年夏天签，2019年夏天到期,407,底特律活塞
卢克-肯纳德,5,G,1.96米/6尺5,91公斤/200磅,1996-06-24,4年1514万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,328,底特律活塞
索恩-梅克,7,C-F,2.16米/7尺1,101公斤/223磅,1997-02-25,4年931万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,280,底特律活塞
何塞-卡尔德隆,81,G,1.91米/6尺3,91公斤/200磅,1981-09-28,1年239万美元，2018年夏天签，2019年夏天到期,239,底特律活塞
扎扎-帕楚里亚,27,C,2.11米/6尺11,125公斤/275磅,1984-02-10,1年239万美元，2018年夏天签，2019年夏天到期,239,底特律活塞
韦恩-艾灵顿,20,G,1.93米/6尺4,91公斤/200磅,1987-11-29,1年238万美元，2019年2月签，2019年夏天到期,238,底特律活塞
斯维亚托斯拉夫-米哈伊柳克,19,F,2.03米/6尺8,87公斤/192磅,1997-06-10,3年457万美元，2018年夏天签，2021年夏天到期，2019-20、2020-21赛季无保障，2019年7月5日、2020年7月5日前不被裁则当赛季转为全额保障,149,底特律活塞
布鲁斯-布朗,6,G,1.96米/6尺5,86公斤/190磅,1996-08-15,3年392万美元，2018年夏天签，2021年夏天到期，2020-21赛季无保障，2020年7月10日前不被裁则全额保障,84,底特律活塞
凯里-托马斯,13,G,1.91米/6尺3,95公斤/210磅,1996-05-08,1年84万美元，2018年夏天签，2019年夏天到期,84,底特律活塞
卡林-卢卡斯,24,G,1.85米/6尺1,88公斤/195磅,1989-05-24,双向合同,7,底特律活塞
以赛亚-怀特黑德,12,G,1.93米/6尺4,97公斤/213磅,1995-03-08,双向合同,7,底特律活塞
奥托-波特,22,F,2.03米/6尺8,90公斤/198磅,1993-06-03,4年1.06亿美元，2017年夏天签，2021年夏天到期，2020-2021赛季球员选项,2601,芝加哥公牛
扎克-拉文,8,G,1.96米/6尺5,84公斤/185磅,1995-03-10,4年7800万美元，2018年夏天签，2022年夏天到期,1950,芝加哥公牛
罗宾-洛佩斯,42,C,2.13米/7尺0,116公斤/255磅,1988-04-01,4年5400万美元，2015年夏天签，2019年夏天到期,1436,芝加哥公牛
克里斯蒂亚诺-费利西奥,6,F-C,2.06米/6尺9,121公斤/266磅,1992-07-07,4年3200万美元，2017年夏天签，2021年夏天到期,847,芝加哥公牛
劳里-马尔卡宁,24,F,2.13米/7尺0,104公斤/230磅,1997-05-22,4年2039万美元，2017年夏天签，2021年夏天到期，2019-2020、2020-2021赛季球队选项,454,芝加哥公牛
温德尔-卡特,34,F,2.08米/6尺10,117公斤/259磅,1999-04-16,4年2201万美元，2018年夏天签，2022年夏天到期，2020和2021年球队选项,444,芝加哥公牛
克里斯-邓恩,32,G,1.93米/6尺4,93公斤/205磅,1994-03-18,4年1749万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,422,芝加哥公牛
登泽尔-瓦伦丁,45,G,1.98米/6尺6,96公斤/212磅,1993-11-16,4年805万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,228,芝加哥公牛
钱德勒-哈奇森,15,F,2.01米/6尺7,89公斤/196磅,1996-04-26,4年1078万美元，2018年夏天签，2022年夏天到期，2020和2021年球队选项,199,芝加哥公牛
韦恩-塞尔登,14,G-F,1.96米/6尺5,104公斤/230磅,1994-09-30,2年286万美元，2017年夏天签，2019年夏天到期，2018-19赛季无保障 ,154,芝加哥公牛
蒂莫泰-卢瓦乌-卡巴罗,7,G-F,1.98米/6尺6,93公斤/205磅,1995-05-09,4年669万美元，2016年夏天签，2020年夏天到期，2018-19、2019-20赛季球队选项,145,芝加哥公牛
安东尼奥-布莱克尼,9,G,1.93米/6尺4,89公斤/197磅,1996-10-04,2年294万美元，2018年夏天签，2020年夏天到期,135,芝加哥公牛
瑞安-阿西迪亚科诺,51,G,1.91米/6尺3,88公斤/195磅,1994-03-26,1年135万美元，2018年夏天签，2019年夏天到期，部分保证,135,芝加哥公牛
沙奎尔-哈里森,3,G,1.91米/6尺3,86公斤/189磅,1993-10-06,1年131万美元，2018年夏天签，2019年夏天到期,131,芝加哥公牛
布兰登-桑普森,44,G,1.96米/6尺5,83公斤/184磅,1997-05-01,双向合同,7,芝加哥公牛
罗尔-阿尔金斯,20,G,1.96米/6尺5,100公斤/220磅,1997-10-29,双向合同,7,芝加哥公牛
凯文-乐福,0,F-C,2.08米/6尺10,114公斤/251磅,1988-09-07,5年1.13亿美元，2015年夏天签，2020年夏天到期。2018年7月，以4年1.2亿美元提前续约，2019年夏天生效，2023年夏天到期,2412,克利夫兰骑士
特里斯坦-汤普森,13,C-F,2.06米/6尺9,108公斤/238磅,1991-03-13,5年8200万美元，2015年夏天签，2020年夏天到期,1747,克利夫兰骑士
JR-史密斯,5,G-F,1.98米/6尺6,102公斤/225磅,1985-09-09,4年5700万美元。2016年夏天签，2020年夏天到期。,1472,克利夫兰骑士
布兰登-奈特,20,G,1.91米/6尺3,88公斤/195磅,1991-12-02,5年7000万美元，2015年夏天签，2020年夏天到期,1463,克利夫兰骑士
乔丹-克拉克森,8,G,1.96米/6尺5,88公斤/194磅,1992-06-07,4年5000万美元，2016年夏天签，2020年夏天到期,1250,克利夫兰骑士
约翰-亨森,31,C-F,2.11米/6尺11,104公斤/229磅,1990-12-28,4年4400万美元，2015年10月签，2016年夏天生效，2020年夏天到期,1058,克利夫兰骑士
马修-戴拉维多瓦,18,G,1.93米/6尺4,90公斤/198磅,1990-09-08,4年3840万美元，2016年夏天签，2020年夏天到期,960,克利夫兰骑士
科林-塞克斯顿,2,G,1.91米/6尺3,86公斤/190磅,1999-01-04,4年2017万美元，2018年夏天签，2022年夏天到期，2020和2021年球队选项,407,克利夫兰骑士
马基斯-克里斯,3,F,2.08米/6尺10,106公斤/233磅,1997-07-02,4年1330万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,321,克利夫兰骑士
切迪-奥斯曼,16,F,2.03米/6尺8,98公斤/215磅,1995-04-08,3年832万美元，2017年夏天签，2020年夏天到期,278,克利夫兰骑士
钱宁-弗莱,9,F-C,2.11米/6尺11,116公斤/255磅,1983-05-17,1年239万美元，2018年夏天签，2019年夏天到期,239,克利夫兰骑士
小拉里-南斯,22,F,2.06米/6尺9,104公斤/230磅,1993-01-01,,227,克利夫兰骑士
安特-日日奇,41,C,2.11米/6尺11,113公斤/250磅,1997-01-04,4年975万美元，2017年夏天签，2021年夏天到期，2019-2020、2020-2021赛季球队选项,195,克利夫兰骑士
大卫-努瓦巴,12,G,1.93米/6尺4,95公斤/209磅,1993-01-14,1年151万美元。2018年夏天签，2019年夏天到期。,151,克利夫兰骑士
尼克-斯陶斯卡斯,1,G,1.98米/6尺6,93公斤/205磅,1993-10-07,1年54万美元，2019年2月签，2019年夏天到期,54,克利夫兰骑士
邓-阿德尔,32,F,2.01米/6尺7,91公斤/200磅,1997-02-01,双向合同,7,克利夫兰骑士
杰朗-布洛瑟姆盖姆,4,F,2.01米/6尺7,100公斤/220磅,1993-09-16,双向合同,7,克利夫兰骑士
