PName,PNumber,PLocation,PHeight,PWeight,PBirth,PContract,PCurrent_salary,PTeam
乔治-尼昂,31,F,2.03米/6尺8,104公斤/230磅,1993-06-17,3年494万美元，2018年夏天签，2021年夏天到期，其中151万受保障，2019-2020、2020-21赛季无保障,151,犹他爵士
罗伊斯-奥尼尔,23,F,1.98米/6尺6,102公斤/226磅,1993-06-05,3年381万美元，2017年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季无保障,138,犹他爵士
纳兹-米特鲁-朗,30,G,1.93米/6尺4,99公斤/218磅,1993-08-03,双向合同,7,犹他爵士
泰勒-卡瓦诺,34,F,2.06米/6尺9,108公斤/238磅,1994-02-09,双向合同,7,犹他爵士
安德鲁-威金斯,22,F,2.03米/6尺8,90公斤/199磅,1995-02-23,4年2484万美元，2014年夏天签，2018年夏天到期，2016-17赛季、2017-18赛季球队选项；2017年10月以5年1.48亿美元提前续约，2018年夏天生效，2023年到期,2525,明尼苏达森林狼
杰夫-蒂格,0,G,1.88米/6尺2,84公斤/186磅,1988-06-10,3年5700万美元，2017年夏天签，2020年夏天到期，2019-2020赛季球员选项,1900,明尼苏达森林狼
戈尔吉-吉昂,5,C,2.11米/6尺11,109公斤/240磅,1990-01-18,4年658万美元，2013年夏天签，2016年10月以4年6400万美元提前续约，2017年夏天生效，2021年夏天到期,1517,明尼苏达森林狼
泰-吉布森,67,F,2.06米/6尺9,107公斤/236磅,1985-06-24,2年2800万美元，2017年夏天签，2019年夏天到期,1400,明尼苏达森林狼
罗伯特-科温顿,33,F,2.06米/6尺9,98公斤/215磅,1990-12-14,5年6160万美元，2017年11月签，2017年11月生效，2022年夏天到期，新合同包含将2017-18赛季薪金从157万美元提升至1670万美元,1002,明尼苏达森林狼
杰里-贝勒斯,8,G,1.91米/6尺3,91公斤/200磅,1988-08-20,3年2700万美元，2016年夏天签，2019年夏天到期,858,明尼苏达森林狼
卡尔-安东尼-唐斯,32,C-F,2.13米/7尺0,111公斤/244磅,1995-11-15,4年2572万美元，2015年夏天签，2019年夏天到期。2018年夏天提前续约5年1.58亿美元，2019年夏天生效。,784,明尼苏达森林狼
安东尼-托利弗,43,F,2.03米/6尺8,109公斤/240磅,1985-06-01,1年575万美元，2018年夏天签，2019年夏天到期,575,明尼苏达森林狼
达里奥-沙里奇,36,F,2.08米/6尺10,101公斤/223磅,1994-04-08,4年1075万美元，2016年夏天签，2020年夏天到期。,253,明尼苏达森林狼
泰厄斯-琼斯,1,G,1.88米/6尺2,88公斤/195磅,1996-05-10,4年646万美元，2015年夏天签，2019年夏天到期，2017-18赛季、2018-19赛季球队选项,244,明尼苏达森林狼
洛尔-邓,9,F,2.06米/6尺9,100公斤/220磅,1985-04-16,1年240万美元，2018年夏天签，2019年到期,240,明尼苏达森林狼
德里克-罗斯,25,G,1.91米/6尺3,86公斤/190磅,1988-10-04,1年240万美元，2018年夏天签，2019年夏天到期,240,明尼苏达森林狼
约什-奥科吉,20,G,1.93米/6尺4,97公斤/213磅,1998-09-01,4年1173万美元，2018年夏天签，2022年夏天到期，2020-21、2021-22赛季球队选项,216,明尼苏达森林狼
凯塔-贝茨-迪奥普,31,F,2.01米/6尺7,107公斤/235磅,1996-01-23,2年226万美元，2018年夏天签，2020年夏天到期,84,明尼苏达森林狼
杰瑞-特雷尔,3,G,1.91米/6尺3,98公斤/215磅,1995-02-10,双向合同,7,明尼苏达森林狼
CJ-威廉姆斯,12,G,1.96米/6尺5,104公斤/230磅,1990-02-06,双向合同,7,明尼苏达森林狼
卡姆-雷诺兹,13,G-F,2.03米/6尺8,102公斤/225磅,1995-02-07,,,明尼苏达森林狼
凯尔-洛瑞,7,G,1.83米/6尺0,93公斤/205磅,1986-03-25,3年1亿美元，2017年夏天签，2020年夏天到期，7百万美元不易达到的激励奖金,3100,多伦多猛龙
马克-加索尔,33,C,2.16米/7尺1,116公斤/255磅,1985-01-29,5年1.13亿美元，2015年夏天签，2020年夏天到期，2019-20赛季球员选项,2412,多伦多猛龙
赛尔吉-伊巴卡,9,C-F,2.08米/6尺10,107公斤/235磅,1989-09-18,3年6500万美元，2017年夏天签，2020年夏天到期,2167,多伦多猛龙
科怀-伦纳德,2,F,2.01米/6尺7,104公斤/230磅,1991-06-29,5年9434万美元，2015年夏天签，2020年夏天到期，2019-20赛季球员选项,2010,多伦多猛龙
丹尼-格林,14,G-F,1.98米/6尺6,98公斤/215磅,1987-06-22,4年4000万美元，2015年夏天签，2019年夏天到期，2018-19赛季球员选项,1000,多伦多猛龙
诺曼-鲍威尔,24,F-G,1.93米/6尺4,98公斤/215磅,1993-05-25,"3年254万美元，2015年夏天签，2018年夏天到期，2017-18赛季无保障,2017年6月29日之前没被裁则转为全额保障（已转为全额保障）；2017年10月以4年4200万美元续约，2018年夏",937,多伦多猛龙
弗雷德-范弗利特,23,G,1.83米/6尺0,88公斤/195磅,1994-02-25,2年1811万美元，2018年夏天签，2020年夏天到期,865,多伦多猛龙
OG-阿奴诺比,3,F,2.03米/6尺8,107公斤/235磅,1997-07-17,4年975万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,195,多伦多猛龙
帕斯卡尔-西亚卡姆,43,F,2.06米/6尺9,104公斤/230磅,1994-04-02,4年610万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,130,多伦多猛龙
帕特里克-麦考,1,G,2.01米/6尺7,84公斤/185磅,1995-10-25,1年78万美元，2019年1月签，2019年夏天到期,78,多伦多猛龙
林书豪,17,G,1.91米/6尺3,91公斤/200磅,1988-08-23,1年70万美元，2019年2月签，2019年夏天到期,70,多伦多猛龙
马尔科姆-米勒,13,F,2.01米/6尺7,95公斤/210磅,1993-03-06,2年205万美元，2019年2月签，2020年夏天到期，2019-20赛季无保障,46,多伦多猛龙
克里斯-布歇,25,F,2.08米/6尺10,91公斤/200磅,1993-01-11,2年205万美元，2019年2月签，2020年夏天到期，2019-20赛季无保障,46,多伦多猛龙
乔丹-劳埃德,8,G,1.93米/6尺4,95公斤/210磅,1993-07-27,双向合同,7,多伦多猛龙
埃里克-莫兰,23,C,2.08米/6尺10,108公斤/238磅,1991-12-24,,,多伦多猛龙
乔尔-恩比德,21,C,2.13米/7尺0,113公斤/250磅,1994-03-16,4年1998万美元，2014年夏天签，2018年夏天到期；2017年10月以5年1.48亿美元提前续约，2018年夏天生效，2023年夏天到期；,2525,费城76人
吉米-巴特勒,23,F,2.01米/6尺7,105公斤/231磅,1989-09-14,5年8774万美元，2015年夏天签，2020年夏天到期，2019-20赛季球员选项,1869,费城76人
托拜厄斯-哈里斯,33,F,2.06米/6尺9,107公斤/235磅,1992-07-15,4年6400万美元，2015年夏天签，2019年夏天到期,1480,费城76人
JJ-雷迪克,17,G,1.93米/6尺4,86公斤/190磅,1984-06-24,1年1225万美元，2018年夏天签，2019年夏天到期,1225,费城76人
博班-马里亚诺维奇,51,C,2.21米/7尺3,132公斤/290磅,1988-08-15,3年2100万美元，2016年夏天签，2019年夏天到期,700,费城76人
本-西蒙斯,25,G-F,2.08米/6尺10,109公斤/240磅,1996-07-20,4年2662万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,643,费城76人
乔纳森-西蒙斯,14,G,1.98米/6尺6,88公斤/195磅,1989-09-14,3年2000万美元，2017年夏天签，2020年夏天到期，2019-2020赛季100万美元保障,600,费城76人
迈克-斯科特,1,F,2.03米/6尺8,107公斤/237磅,1988-07-16,1年432万美元，2018年夏天签，2019年夏天到期,432,费城76人
贾斯廷-巴顿,0,C,2.13米/7尺0,104公斤/230磅,1997-06-14,4年1282万美元，2017年夏天签，2021年夏天到期，2019-2020、2020-2021赛季球队选项,267,费城76人
扎伊尔-史密斯,8,G,1.93米/6尺4,90公斤/199磅,1999-06-04,4年1379万美元，2018年夏天签，2022年夏天到期，2020年和2021年球队选项,261,费城76人
阿米尔-约翰逊,5,C-F,2.06米/6尺9,109公斤/240磅,1987-05-01,1年239万美元，2018年夏天签，2019年夏天到期,239,费城76人
乔纳-博尔登,43,F,2.08米/6尺10,107公斤/235磅,1996-01-02,4年700万美元。2018年夏天签，2022年夏天到期。,169,费城76人
詹姆斯-恩尼斯,11,F,2.01米/6尺7,95公斤/210磅,1990-07-01,2年347万美元，2018年夏天签，2020年夏天到期，2019年球员选项,162,费城76人
TJ-麦康奈尔,12,G,1.88米/6尺2,91公斤/200磅,1992-03-25,4年447万美元，2015年夏天签，2019年夏天到期；2015-16赛季10万美元保障（已转为全额保障），2017-2018赛季无保障，2018-2019赛季球队选项,160,费城76人
富尔坎-科尔克马兹,30,G-F,2.01米/6尺7,86公斤/190磅,1997-07-24,4年866万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,150,费城76人
海伍德-海史密斯,7,F,2.01米/6尺7,100公斤/220磅,1996-12-09,双向合同,7,费城76人
谢克-米尔顿,18,G,1.98米/6尺6,93公斤/205磅,1996-09-26,双向合同,7,费城76人
戈登-海沃德,20,F,2.03米/6尺8,102公斤/226磅,1990-03-23,4年1.28亿美元，2017年夏天签，2021年夏天到期，2020-21赛季球员选项，15%交易保证金,3121,波士顿凯尔特人
艾尔-霍弗德,42,C-F,2.08米/6尺10,111公斤/245磅,1986-06-03,4年1.13亿美元，2016年夏天签，2020年夏天到期，2019-20赛季球员选项,2893,波士顿凯尔特人
凯里-欧文,11,G,1.91米/6尺3,88公斤/193磅,1992-03-23,5年9000万美元，2014年夏天签，2015年夏天生效，2020年夏天到期，2019-20赛季球员选项,2010,波士顿凯尔特人
马库斯-斯马特,36,G,1.93米/6尺4,100公斤/220磅,1994-03-06,4年5200万美元，2018年夏天签，2022年夏天到期，每年身体脂肪含量达到球队要求则有50万奖金,1160,波士顿凯尔特人
杰森-塔特姆,0,F,2.03米/6尺8,93公斤/205磅,1998-03-03,4年3007万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,670,波士顿凯尔特人
马库斯-莫里斯,13,F,2.06米/6尺9,107公斤/235磅,1989-09-02,4年2000万美元，2014年9月签，2015年夏天生效，2019年夏天到期,538,波士顿凯尔特人
阿隆-贝恩斯,46,C-F,2.08米/6尺10,118公斤/260磅,1986-12-09,2年1065万美元，2018年夏天签，2020年夏天到期，2019年球员选项,519,波士顿凯尔特人
杰伦-布朗,7,F-G,2.01米/6尺7,102公斤/225磅,1996-10-24,4年2140万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,517,波士顿凯尔特人
特里-罗齐尔,12,G,1.88米/6尺2,86公斤/190磅,1994-03-17,4年877万美元，2015年夏天签，2019年夏天到期，2017-18赛季、2018-19赛季球队选项（已执行）,305,波士顿凯尔特人
